path,line_count
"ia_carmine\product\agent_review\wave_entrypoints\cli.py",274
"ia_carmine\product\ai_workload\quality_lane_routing\__init__.py",3
"ia_carmine\product\ai_workload\quality_lane_routing\cli.py",178
"ia_carmine\product\ai_workload\TOOL_CONTEXT.md",18
"ia_carmine\product\code_product\__init__.py",1
"ia_carmine\product\code_product\artifact_intake\__init__.py",66
"ia_carmine\product\code_product\artifact_intake\__main__.py",4
"ia_carmine\product\code_product\artifact_intake\analyzer.py",167
"ia_carmine\product\code_product\artifact_intake\apply.py",109
"ia_carmine\product\code_product\artifact_intake\cli.py",20
"ia_carmine\product\code_product\artifact_intake\common.py",54
"ia_carmine\product\code_product\artifact_intake\report.py",30
"ia_carmine\product\code_product\artifact_intake\sections.py",243
"ia_carmine\product\code_product\edit_proposal_from_plan\__init__.py",3
"ia_carmine\product\code_product\edit_proposal_from_plan\cli.py",266
"ia_carmine\product\code_product\final_readable_product\__init__.py",3
"ia_carmine\product\code_product\final_readable_product\cli.py",382
"ia_carmine\product\code_product\final_readable_product\code_matrix_discovery.py",50
"ia_carmine\product\code_product\final_readable_product\operator_decision.py",55
"ia_carmine\product\code_product\final_readable_product\pointer_reconstruction.py",63
"ia_carmine\product\code_product\final_readable_product\product_contract.py",91
"ia_carmine\product\code_product\full_run_bundle_zip\__init__.py",1
"ia_carmine\product\code_product\full_run_bundle_zip\builder.py",165
"ia_carmine\product\code_product\full_run_bundle_zip\cli.py",43
"ia_carmine\product\code_product\full_run_bundle_zip\discovery.py",127
"ia_carmine\product\code_product\full_run_bundle_zip\git_status.py",22
"ia_carmine\product\code_product\full_run_bundle_zip\paths.py",23
"ia_carmine\product\code_product\full_run_bundle_zip\policy.py",52
"ia_carmine\product\code_product\full_run_bundle_zip\reports.py",39
"ia_carmine\product\code_product\interpreter_report\__init__.py",5
"ia_carmine\product\code_product\interpreter_report\builder.py",154
"ia_carmine\product\code_product\interpreter_report\cli.py",50
"ia_carmine\product\code_product\interpreter_report\constants.py",45
"ia_carmine\product\code_product\interpreter_report\render.py",42
"ia_carmine\product\code_product\interpreter_report\scanner.py",187
"ia_carmine\product\code_product\patch_artifact_pack\__init__.py",3
"ia_carmine\product\code_product\patch_artifact_pack\cli.py",263
"ia_carmine\product\code_product\patch_candidate_report.py",24
"ia_carmine\product\code_product\patch_docs_followup\__init__.py",3
"ia_carmine\product\code_product\patch_docs_followup\cli.py",329
"ia_carmine\product\code_product\synthesis_patterns.py",98
"ia_carmine\product\code_product\TOOL_CONTEXT.md",73
"ia_carmine\product\composer\__init__.py",1
"ia_carmine\product\deterministic_recommendations\__init__.py",6
"ia_carmine\product\deterministic_recommendations\cli.py",55
"ia_carmine\product\deterministic_recommendations\common.py",226
"ia_carmine\product\deterministic_recommendations\consistency.py",269
"ia_carmine\product\deterministic_recommendations\evidence_to_recommendation\__init__.py",3
"ia_carmine\product\deterministic_recommendations\evidence_to_recommendation\cli.py",107
"ia_carmine\product\deterministic_recommendations\provider.py",198
"ia_carmine\product\deterministic_recommendations\report.py",253
"ia_carmine\product\deterministic_recommendations\TOOL_CONTEXT.md",19
"ia_carmine\product\final_readable_product\__init__.py",1
"ia_carmine\product\generated_patch_specs\__init__.py",1
"ia_carmine\product\generated_patch_specs\apply_cli.py",213
"ia_carmine\product\generated_patch_specs\apply_common.py",80
"ia_carmine\product\generated_patch_specs\apply_discovery.py",70
"ia_carmine\product\generated_patch_specs\apply_operations.py",141
"ia_carmine\product\generated_patch_specs\apply_report.py",30
"ia_carmine\product\generated_patch_specs\apply_validators.py",58
"ia_carmine\product\generated_patch_specs\cli_specs.py",90
"ia_carmine\product\generated_patch_specs\proposal_cli.py",5
"ia_carmine\product\generated_patch_specs\proposal_common.py",131
"ia_carmine\product\generated_patch_specs\proposal_manifest.py",180
"ia_carmine\product\generated_patch_specs\proposal_operations.py",184
"ia_carmine\product\generated_patch_specs\review_builder.py",178
